Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,FUR LNLG,FUR LNLGIS,FUR LNLGOGIS
ARG,2018,-245.06099999999998,217.192,-815.288,552.578,-366.575,657.288,-482.815,403.436,-395.608,217.192,-965.835,552.578,-517.122,657.288,-633.362,403.436,-205.44799999999998,216.364,-775.676,552.253,-326.962,657.015,-443.20300000000003,402.991,-36.4529,2.37525,-114.094,-34.2282,190.15900000000002,18.9496,-1.28,0.28,0.7,0.72,0.72
ARG,2019,-213.24,354.18300000000005,-1272.55,558.181,-1186.13,727.737,-623.316,489.94800000000004,-363.351,354.18300000000005,-1422.66,558.181,-1336.24,727.737,-773.427,489.94800000000004,-178.715,353.651,-1238.02,557.844,-1151.6,727.4780000000001,-588.7909999999999,489.564,-36.0174,3.2462299999999997,-114.094,-34.2282,184.636,19.3936,-1.73,0.28,0.7,0.72,0.72
ARG,2020,-418.43699999999995,395.97900000000004,-878.118,457.88599999999997,-976.53,447.18699999999995,-84.6341,479.598,-570.337,395.97900000000004,-1030.02,457.88599999999997,-1128.43,447.18699999999995,-236.53400000000002,479.598,-399.051,395.504,-858.732,457.475,-957.1439999999999,446.76599999999996,-65.2483,479.20599999999996,-37.8061,2.57966,-114.094,-34.2282,171.28599999999997,19.3936,-0.69,0.28,0.7,0.72,0.72
ARG,mean,-184.15400000000002,197.942,-1052.83,478.819,-655.32,472.673,-353.524,592.391,-336.05400000000003,194.94299999999998,-1204.73,477.587,-807.22,471.425,-505.42400000000004,591.396,-146.79,193.99200000000002,-1015.46,477.2,-617.956,471.033,-316.16,591.0830000000001,-37.8061,2.57966,-114.094,-34.2282,189.264,19.2306,-1.52,0.28,0.7,0.72,0.72
ARM,2015,-1.10513,6.28972,-2.19345,5.02838,-0.682782,4.54881,-1.4735200000000002,6.21603,-0.245914,6.28972,-1.3342399999999999,5.02838,0.176431,4.54881,-0.61431,6.21603,4.96375,6.27879,3.8754199999999996,5.0147,5.38609,4.53369,4.59535,6.204969999999999,-0.14424700000000001,0.277819,1.00346,0.30103800000000003,5.2096599999999995,0.370641,-0.21,0.02,0.52,0.38,0.46
ARM,2016,-2.44958,3.94843,0.965936,4.6214,-1.8682,2.92824,-4.50453,3.01112,-1.59104,3.94843,1.82447,4.6214,-1.00967,2.92824,-3.6459900000000003,3.01112,3.83921,3.93019,7.25473,4.60583,4.42059,2.9036,1.78426,2.98717,-0.144922,0.276469,1.00346,0.30103800000000003,5.43025,0.37905300000000003,0.91,0.02,0.52,0.38,0.46
ARM,2017,1.9985400000000002,8.65878,-0.0816993,3.7842,-0.139296,6.692310000000001,-0.37290100000000004,3.09749,2.85757,8.65878,0.77733,3.7842,0.719733,6.692310000000001,0.48612799999999995,3.09749,8.48766,8.64926,6.40742,3.7623699999999998,6.349819999999999,6.679989999999999,6.116219999999999,3.07078,-0.144431,0.277451,1.00346,0.30103800000000003,5.63009,0.405915,-0.62,0.02,0.52,0.38,0.46
ARM,2018,-2.07327,3.34268,5.23836,7.4769,6.29873,10.6899,2.86862,5.69934,-1.21396,3.34268,6.09767,7.4769,7.15803,10.6899,3.72793,5.69934,4.55365,3.31794,11.8653,7.46588,12.9256,10.6822,9.49554,5.68487,-0.144155,0.278003,1.00346,0.30103800000000003,5.7676099999999995,0.405915,1.42,0.02,0.52,0.38,0.46
ARM,2019,-4.56071,3.7836800000000004,-0.499989,3.07573,-1.9911,2.36742,-3.25467,3.0941099999999997,-3.70094,3.7836800000000004,0.35977600000000004,3.07573,-1.13134,2.36742,-2.39491,3.0941099999999997,2.35644,3.7654900000000002,6.41715,3.0533099999999997,4.92604,2.33823,3.66247,3.07183,-0.14369500000000002,0.278923,1.00346,0.30103800000000003,6.05738,0.370641,0.89,0.02,0.52,0.38,0.46
ARM,2020,-1.27867,2.4226900000000002,2.9228400000000003,9.08053,5.81573,9.792110000000001,-0.890523,7.2022,-0.419498,2.4226900000000002,3.7820099999999996,9.08053,6.6749,9.792110000000001,-0.0313523,7.2022,5.19749,2.39417,9.399,9.07297,12.2919,9.78509,5.58564,7.192660000000001,-0.14429,0.277733,1.00346,0.30103800000000003,5.61699,0.370641,0.45,0.02,0.52,0.38,0.46
